X_0,X_1,X_2,X_3,X_4,X_5,X_6,X_7,X_8,X_9,X_10,X_11,X_12,X_13,X_14,X_15
1.6170405703232457e-110,0.09483409675660488,0.021343482919491796,1.4667658757914588e-66,1.3487870242754679e-99,0.08547693885999226,1.1574396312806227e-82,3.1399437943455783e-65,1.0309628987196362e-99,6.587175955167009e-65,1.9351974326858903e-75,8.021800958155972e-74,2.309899661487497e-118,0.9877561884612953,0.08707671852317023,3.2949729091036237e-47
3.9109399234538274e-38,7.17644753364128e-21,1.0760151768565736e-35,3.1878490209570607e-17,6.543021650828117e-35,1.4162380629428695e-31,3.287538036544336e-48,7.626703208624402e-36,2.0537188520761865e-59,4.2836897623577376e-38,1.301102834039107e-13,1.8315514233565764e-14,1.2141178797285343e-37,9.919849868282069e-29,0.9999999999999999,9.674802244831865e-33
1.2714082510517445e-56,4.897436319971593e-19,6.828482068769332e-38,5.625361909573123e-06,3.136233183136216e-34,3.107887477178202e-08,1.4940388012215843e-23,4.026522327327212e-106,1.3293324832837844e-123,0.21130466854613206,2.2808563451286928e-11,7.353287159063625e-21,3.015033461390042e-68,6.188308953747402e-38,0.977420245860993,2.7567867226472526e-40
0.9973103123700201,0.007674197706963058,8.415540345789688e-42,2.6411473933594075e-69,0.06054459944013925,2.848616071830147e-11,1.4486356320287552e-50,0.0,4.997114021612722e-138,4.722593664225892e-61,5.183648655111563e-18,0.04059062710282124,2.6594990031775907e-97,1.5713060340535297e-162,1.4691942397479861e-24,1.742800754236866e-51
2.4851799252611685e-54,5.520746768245822e-20,4.159701360113956e-37,2.2448662642034267e-05,5.376954227327352e-32,2.5336754107576253e-41,1.8354611791683897e-48,3.634220479233197e-45,2.3093803369218707e-80,1.111644530783937e-37,0.11221536893332362,1.7227723420217883e-14,6.186150606614957e-59,4.1256159484077765e-40,0.9936839087311495,3.9452311926460296e-32
1.1552506850292463e-49,0.0016044828980788545,6.066439202785529e-06,0.0055211416646466435,2.463888344440205e-38,6.235097383336678e-34,5.9183064361845906e-08,0.9999834567037238,1.0575579704584616e-98,5.290601108181359e-44,0.0,6.55871276712277e-230,1.3353602818855468e-47,0.00017003357136132464,1.9869509264848266e-42,3.380762755237735e-64
2.1007422385975093e-138,1.1472183071455422e-108,2.430490207481859e-101,4.304979343651029e-200,4.362184488209026e-128,6.931984932054547e-85,2.6098929725480078e-166,5.881539313979296e-59,1.0461268907282952e-195,0.7993709760336095,1.7512736961311123e-89,5.5022611451607934e-55,0.6008377839942111,8.388011551737633e-101,1.1774558630219105e-206,1.638653167885111e-195
4.388248476368009e-57,7.539295552837341e-21,1.7895709858896898e-20,6.5734883995046185e-25,7.829261005228109e-33,3.121531450799234e-24,3.3131288636206116e-43,0.0013706643900599843,0.014483835495208736,1.7219481009230691e-26,0.6157063863587102,7.540239284137554e-22,7.32009101371546e-80,1.0103330681217392e-38,0.787823166362449,0.005352020947379479
7.252708729495931e-31,0.08872055746676719,2.587137406831269e-31,2.8355033811283478e-52,1.400130406203326e-16,1.465715592142178e-32,3.374875882304862e-94,7.369801486770839e-24,0.9842818392099715,0.14190695550965973,2.215797367584477e-76,4.627473621854335e-15,1.4829613154676576e-26,1.2824872303193006e-71,0.05639450028328343,9.927229014055164e-55
4.08422231552327e-49,0.7706817199117446,2.785474998070433e-51,2.6707765268601216e-29,7.363068507301181e-38,8.611028087174821e-08,4.2770262877615994e-37,6.152092035558244e-44,2.4915728579881233e-37,2.7247099714331845e-32,2.1263789621735353e-11,0.20961333779975314,5.003279988582899e-50,1.1746210196146539e-34,0.601757372377202,1.156125041594123e-48
